Text,Date,Favorites,Retweets,Tweet ID
"@TureMasing Great article Karl-Mikael!

http://mikaelsyding.com/expelliamus/",2016-02-17 15:03:44,1,0,700048000509464576
@fcollective sick event guys,2015-08-06 00:14:19,0,0,629143438521421824
You wasted a whole year if you recognise yourself one year ago,2015-07-28 17:20:56,0,0,626140303716651009
The purpose of life is to have a life of purpose,2015-01-29 10:26:34,0,0,560821309148786688
"“Education is not the filling of a pail, but the lighting of a fire.” – W.B. Yeats",2015-01-28 12:42:01,2,0,560493008123342848
"“If you have a garden and a library, you have everything you need.""- Marcus Tullius Cicero",2015-01-27 21:17:00,3,1,560260221231435776
